('🗣️', '🔃', 4)
('❄️', '🤣', 109)
('❄️', '🐖', 2)
('❄️', '🧫', 2)
('❄️', '❄️', 3390)
('❄️', '🧔🏻', 4)
('❄️', '👨🏻', 4)
('❄️', '👑', 6)
('❄️', '🦑', 4)
('❄️', '🦄', 5)
('❄️', '🤪', 22)
('❄️', '🤭', 4)
('❄️', '😣', 4)
('❄️', '😖', 4)
('❄️', '😫', 4)
('❄️', '😩', 26)
('❄️', '😤', 4)
('❄️', '😱', 4)
('❄️', '😵', 4)
('❄️', '🤯', 28)
('❄️', '😲', 4)
('❄️', '🥴', 4)
('❄️', '🥶', 59)
('❄️', '💀', 4)
('❄️', '☠️', 4)
('❄️', '🤖', 13)
('❄️', '👋🏻', 4)
('❄️', '✍🏻', 4)
('❄️', '👶🏻', 4)
('❄️', '🦴', 18)
('❄️', '🗣️', 14)
('❄️', '🧠', 20)
('❄️', '🤑', 20)
('❄️', '🕳️', 9)
('❄️', '⚠️', 4)
('❄️', '🚸', 4)
('❄️', '🚮', 12)
('❄️', '🆖', 8)
('❄️', '🔀', 4)
('❄️', '🔄', 4)
('❄️', '🔃', 4)
('🤣', '🐖', 5)
('🤣', '🧫', 2)
('🤣', '🧔🏻', 2)
('🤣', '👨🏻', 2)
('🤣', '👑', 15)
('🤣', '🦑', 2)
('🤣', '🦄', 2)
('🤣', '🤪', 648)
('🤣', '🤭', 28)
('🤣', '😣', 4)
('🤣', '😖', 5)
('🤣', '😫', 52)
('🤣', '😩', 72)
('🤣', '😤', 6)
('🤣', '😱', 66)
('🤣', '😵', 62)
('🤣', '🤯', 232)
('🤣', '😲', 29)
('🤣', '🥴', 23)
('🤣', '🥶', 12)
('🤣', '💀', 208)
('🤣', '☠️', 45)
('🤣', '🤖', 2)
('🤣', '👋🏻', 2)
('🤣', '✍🏻', 2)
('🤣', '👶🏻', 2)
('🤣', '🧠', 16)
('🤣', '🤑', 20)
('🤣', '🕳️', 6)
('🤣', '⚠️', 2)
('🤣', '🚸', 2)
('🤣', '🚮', 22)
('🤣', '🆖', 4)
('🤣', '🔀', 2)
('🤣', '🔄', 2)
('🤣', '🔃', 2)
('🐖', '🧫', 4)
('🐖', '❄️', 4)
('🐖', '🧔🏻', 2)
('🐖', '👨🏻', 2)
('🐖', '👑', 2)
('🐖', '🦑', 2)
('🐖', '🦄', 2)
('🐖', '🤪', 2)
('🐖', '🤡', 6)
('🐖', '🤭', 2)
('🐖', '😣', 2)
('🐖', '😖', 2)
('🐖', '😫', 2)
('🐖', '😩', 3)
('🐖', '😤', 2)
('🐖', '😱', 2)
('🐖', '😵', 2)
('🐖', '🤯', 2)
('🐖', '😲', 2)
('🐖', '🥴', 2)
('🐖', '🥶', 10)
('🐖', '💀', 2)
('🐖', '☠️', 17)
('🐖', '🤖', 2)
('🐖', '👋🏻', 2)
('🐖', '✍🏻', 2)
('🐖', '👶🏻', 2)
('🐖', '🦴', 4)
('🐖', '🗣️', 2)
('🐖', '💩', 48)
('🐖', '🧠', 2)
('🐖', '🤑', 10)
('🐖', '🕳️', 4)
('🐖', '⚠️', 80)
('🐖', '🚸', 2)
('🐖', '🚮', 6)
('🐖', '🆖', 4)
('🐖', '🔀', 2)
('🐖', '🔄', 2)
('🐖', '🔃', 2)
('🧫', '❄️', 4)
('🧫', '🧔🏻', 2)
('🧫', '👨🏻', 2)
('🧫', '👑', 2)
('🧫', '🦑', 2)
('🧫', '🦄', 2)
('🧫', '🤪', 2)
('🧫', '🤡', 4)
('🧫', '🤭', 2)
('🧫', '😣', 2)
('🧫', '😖', 2)
('🧫', '😫', 2)
('🧫', '😩', 2)
('🧫', '😤', 2)
('🧫', '😱', 2)
('🧫', '😵', 2)
('🧫', '🤯', 2)
('🧫', '😲', 2)
('🧫', '🥴', 2)
('🧫', '🥶', 10)
('🧫', '💀', 2)
('🧫', '☠️', 4)
('🧫', '🤖', 2)
('🧫', '👋🏻', 2)
('🧫', '✍🏻', 2)
('🧫', '👶🏻', 2)
('🧫', '🦴', 4)
('🧫', '🗣️', 2)
('🧫', '💩', 6)
('🧫', '🧠', 2)
('🧫', '🤑', 10)
('🧫', '🕳️', 4)
('🧫', '⚠️', 2)
('🧫', '🚸', 2)
('🧫', '🚮', 6)
('🧫', '🆖', 4)
('🧫', '🔀', 2)
('🧫', '🔄', 2)
('🧫', '🔃', 2)
('🧔🏻', '👨🏻', 2)
('🧔🏻', '👑', 2)
('🧔🏻', '🦑', 2)
('🧔🏻', '🦄', 2)
('🧔🏻', '🤪', 2)
('🧔🏻', '🤭', 2)
('🧔🏻', '😣', 2)
('🧔🏻', '😖', 2)
('🧔🏻', '😫', 2)
('🧔🏻', '😩', 2)
('🧔🏻', '😤', 2)
('🧔🏻', '😱', 2)
('🧔🏻', '😵', 2)
('🧔🏻', '🤯', 2)
('🧔🏻', '😲', 2)
('🧔🏻', '🥴', 2)
('🧔🏻', '🥶', 10)
('🧔🏻', '💀', 2)
('🧔🏻', '☠️', 2)
('🧔🏻', '🤖', 2)
('🧔🏻', '👋🏻', 2)
('🧔🏻', '✍🏻', 2)
('🧔🏻', '🤑', 10)
('🧔🏻', '🕳️', 2)
('🧔🏻', '⚠️', 2)
('🧔🏻', '🚸', 2)
('🧔🏻', '🚮', 6)
('🧔🏻', '🆖', 4)
('🧔🏻', '🔀', 2)
('🧔🏻', '🔄', 2)
('🧔🏻', '🔃', 2)
('👨🏻', '👑', 2)
('👨🏻', '🦑', 2)
('👨🏻', '🦄', 2)
('👨🏻', '🤪', 2)
('👨🏻', '🤡', 2)
('👨🏻', '🤭', 2)
('👨🏻', '😣', 2)
('👨🏻', '😖', 2)
('👨🏻', '😫', 18)
('👨🏻', '😩', 2)
('👨🏻', '😤', 2)
('👨🏻', '😱', 2)
('👨🏻', '😵', 2)
('👨🏻', '🤯', 2)
('👨🏻', '😲', 2)
('👨🏻', '🥴', 2)
('👨🏻', '🥶', 10)
('👨🏻', '💀', 2)
('👨🏻', '☠️', 2)
('👨🏻', '🤖', 2)
('👨🏻', '👋🏻', 2)
('👨🏻', '✍🏻', 2)
('👨🏻', '👶🏻', 2)
('👨🏻', '🦴', 2)
('👨🏻', '🗣️', 2)
('👨🏻', '💩', 2)
('👨🏻', '🧠', 2)
('👨🏻', '🤑', 10)
('👨🏻', '🕳️', 2)
('👨🏻', '⚠️', 2)
('👨🏻', '🚸', 2)
('👨🏻', '🚮', 6)
('👨🏻', '🆖', 4)
('👨🏻', '🔀', 2)
('👨🏻', '🔄', 2)
('👨🏻', '🔃', 2)
('👑', '🦑', 2)
('👑', '🦄', 2)
('👑', '🤪', 3)
('👑', '🤡', 4)
('👑', '🤭', 4)
('👑', '😣', 2)
('👑', '😖', 2)
('👑', '😫', 2)
('👑', '😩', 2)
('👑', '😤', 2)
('👑', '😱', 5)
('👑', '😵', 2)
('👑', '🤯', 3)
('👑', '😲', 2)
('👑', '🥴', 2)
('👑', '🥶', 10)
('👑', '💀', 5)
('👑', '☠️', 16)
('👑', '🤖', 4)
('👑', '👋🏻', 2)
('👑', '✍🏻', 2)
('👑', '👶🏻', 2)
('👑', '🦴', 2)
('👑', '🗣️', 3)
('👑', '💩', 25)
('👑', '🧠', 3)
('👑', '🤑', 11)
('👑', '🕳️', 2)
('👑', '⚠️', 2)
('👑', '🚸', 2)
('👑', '🚮', 6)
('👑', '🆖', 4)
('👑', '🔀', 2)
('👑', '🔄', 2)
('👑', '🔃', 2)
('🦑', '🦄', 2)
('🦑', '🤪', 2)
('🦑', '🤡', 2)
('🦑', '🤭', 2)
('🦑', '😣', 2)
('🦑', '😖', 2)
('🦑', '😫', 2)
('🦑', '😩', 2)
('🦑', '😤', 2)
('🦑', '😱', 2)
('🦑', '😵', 2)
('🦑', '🤯', 2)
('🦑', '😲', 2)
